日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
1,2032-04-01,木曜日,Thursday,Thu,False,False,,仏滅,False,癸酉,癸,酉,水,金,陰,鶏,沐浴,False,,,,調査中,宇宙からのメッセージ,若草色,カモミールティー,92,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,蠍座,女帝 - 豊穣,勇気は恐れを超越する,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2,2032-04-02,金曜日,Friday,Fri,False,False,,大安,True,甲戌,甲,戌,木,土,陽,犬,帝旺,True,戌亥,家庭・不動産,,調査中,奇跡を呼ぶ波動,黄金色,ペパーミントティー,93,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,射手座,皇帝 - 安定,知恵は経験から生まれる,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
3,2032-04-03,土曜日,Saturday,Sat,True,False,,赤口,False,乙亥,乙,亥,木,水,陰,猪,衰,True,戌亥,家庭・不動産,,調査中,龍神様のご加護,鋼青色,緑茶,94,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,山羊座,教皇 - 叡智,調和は美の根源,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
4,2032-04-04,日曜日,Sunday,Sun,True,False,,先勝,False,丙子,丙,子,火,水,陽,鼠,病,False,,,,調査中,金運上昇のサイン,深紅色,ほうじ茶,95,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,水瓶座,恋人 - 選択,希望は明日への光,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
5,2032-04-05,月曜日,Monday,Mon,False,False,,友引,True,丁丑,丁,丑,火,土,陰,牛,死,False,,,,調査中,恋愛運絶好調,金色,ジャスミンティー,96,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,魚座,戦車 - 意志力,慈悲は魂の栄養,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
6,2032-04-06,火曜日,Tuesday,Tue,False,False,,先負,False,戊寅,戊,寅,土,木,陽,虎,墓,False,,,,調査中,直感力が冴える,朱色,ルイボスティー,97,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,牡羊座,力 - 内なる強さ,一歩一歩が大切な旅路,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
7,2032-04-07,水曜日,Wednesday,Wed,False,False,,仏滅,False,己卯,己,卯,土,木,陰,兎,絶,False,,,,調査中,隠れた才能開花,空色,ローズヒップティー,98,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,牡牛座,隠者 - 内省,今日という日は二度と来ない,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
8,2032-04-08,木曜日,Thursday,Thu,False,False,,大安,False,庚辰,庚,辰,金,土,陽,龍,胎,False,,,,調査中,人生の転機到来,若草色,白茶,99,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,双子座,運命の輪 - 転機,心の平安が真の豊かさ,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
9,2032-04-09,金曜日,Friday,Fri,False,False,,赤口,True,辛巳,辛,巳,金,火,陰,蛇,養,False,,,,調査中,幸運の風が吹く,黄金色,烏龍茶,1,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,蟹座,正義 - バランス,変化は成長の扉,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
10,2032-04-10,土曜日,Saturday,Sat,True,False,,先勝,False,壬午,壬,午,水,火,陽,馬,長生,False,,,,調査中,魂の成長期間,鋼青色,玄米茶,2,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,獅子座,吊られた男 - 犠牲,感謝の心が幸福を呼ぶ,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
11,2032-04-11,日曜日,Sunday,Sun,True,False,,友引,False,癸未,癸,未,水,土,陰,羊,沐浴,False,,,,調査中,エネルギー充電日,深紅色,抹茶,3,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,乙女座,死神 - 変容,愛は最も強いエネルギー,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
12,2032-04-12,月曜日,Monday,Mon,False,False,,先負,False,甲申,甲,申,木,金,陽,猿,帝旺,True,申酉,友人・兄弟,,調査中,新次元への扉,金色,柚子茶,4,オパール,パチュリ,宇宙との繋がり,すずらん - 謙遜,夢を描く時間,天秤座,節制 - 調和,困難は成長のギフト,フォーク,きのこ類,ターコイズ - 護符,オレンジで社交性向上
13,2032-04-13,火曜日,Tuesday,Tue,False,False,,仏滅,False,乙酉,乙,酉,木,金,陰,鶏,衰,True,申酉,友人・兄弟,,調査中,守護霊のささやき,朱色,生姜茶,5,ターコイズ,シダーウッド,直感力向上,菜の花 - 快活,心を整理する日,蠍座,悪魔 - 誘惑,今この瞬間が全て,インストゥルメンタル,根菜の煮物,オパール - 創造性,黄色で明るさを増す
14,2032-04-14,水曜日,Wednesday,Wed,False,False,,大安,False,丙戌,丙,戌,火,土,陽,犬,病,False,,,,調査中,願いが叶う予感,空色,黒豆茶,6,エメラルド,カモミール,創造性開花,藤 - 優しさ,自然と触れ合う日,射手座,塔 - 変革,笑顔は心の太陽,ワールドミュージック,自然食品,エメラルド - 豊穣,白で清浄化
15,2032-04-15,木曜日,Thursday,Thu,False,False,,赤口,False,丁亥,丁,亥,火,水,陰,猪,死,False,,,,調査中,心のデトックス,若草色,アールグレイ,7,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,山羊座,星 - 希望,優しさは伝染する,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
16,2032-04-16,金曜日,Friday,Fri,False,False,,先勝,False,戊子,戊,子,土,水,陽,鼠,墓,False,,,,調査中,創造力爆発,黄金色,カモミールティー,8,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,水瓶座,月 - 幻想,夢は現実の種,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
17,2032-04-17,土曜日,Saturday,Sat,True,False,,友引,True,己丑,己,丑,土,土,陰,牛,絶,False,,,,調査中,人との縁を結ぶ,鋼青色,ペパーミントティー,9,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,魚座,太陽 - 成功,勇気は恐れを超越する,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
18,2032-04-18,日曜日,Sunday,Sun,True,False,,先負,False,庚寅,庚,寅,金,木,陽,虎,胎,False,,,,調査中,未来への種まき,深紅色,緑茶,10,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,牡羊座,審判 - 再生,知恵は経験から生まれる,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
19,2032-04-19,月曜日,Monday,Mon,False,False,,仏滅,False,辛卯,辛,卯,金,木,陰,兎,養,False,,,,調査中,宝物発見の予感,金色,ほうじ茶,11,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,牡牛座,世界 - 完成,調和は美の根源,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
20,2032-04-20,火曜日,Tuesday,Tue,False,False,,大安,True,壬辰,壬,辰,水,土,陽,龍,長生,False,,,,調査中,内なる光が輝く,朱色,ジャスミンティー,12,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,双子座,愚者 - 新しい始まり,希望は明日への光,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
21,2032-04-21,水曜日,Wednesday,Wed,False,False,,赤口,False,癸巳,癸,巳,水,火,陰,蛇,沐浴,False,,,,調査中,調和のメロディ,空色,ルイボスティー,13,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,蟹座,魔術師 - 創造力,慈悲は魂の栄養,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
22,2032-04-22,木曜日,Thursday,Thu,False,False,,先勝,False,甲午,甲,午,木,火,陽,馬,帝旺,True,午未,配偶者・恋愛,,調査中,自然の叡智授受,若草色,ローズヒップティー,14,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,獅子座,女教皇 - 直感,一歩一歩が大切な旅路,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
23,2032-04-23,金曜日,Friday,Fri,False,False,,友引,False,乙未,乙,未,木,土,陰,羊,衰,True,午未,配偶者・恋愛,,調査中,知恵の泉湧出,黄金色,白茶,15,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,乙女座,女帝 - 豊穣,今日という日は二度と来ない,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
24,2032-04-24,土曜日,Saturday,Sat,True,False,,先負,False,丙申,丙,申,火,金,陽,猿,病,False,,,,調査中,至福の時間軸,鋼青色,烏龍茶,16,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,天秤座,皇帝 - 安定,心の平安が真の豊かさ,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
25,2032-04-25,日曜日,Sunday,Sun,True,False,,仏滅,False,丁酉,丁,酉,火,金,陰,鶏,死,False,,,,調査中,運気上昇の兆し,深紅色,玄米茶,17,ペリドット,ティーツリー,過去の癒し,カーネーション - 母の愛,エネルギーを充電する時,蠍座,教皇 - 叡智,変化は成長の扉,ボサノバ,温野菜,オニキス - 意志力,青で冷静さを保つ
26,2032-04-26,月曜日,Monday,Mon,False,False,,大安,False,戊戌,戊,戌,土,土,陽,犬,墓,False,,,,調査中,心の扉が開放,金色,抹茶,18,トルマリン,ゼラニウム,内なる平和,コスモス - 乙女の真心,変化を受け入れる日,射手座,恋人 - 選択,感謝の心が幸福を呼ぶ,レゲエ,海藻料理,マラカイト - 変容,紫で精神性を高める
