date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-11-01,土曜日,Saturday,True,False,,大安,金運上昇のサイン,鋼青色,ほうじ茶
2025-11-02,日曜日,Sunday,True,False,,赤口,恋愛運絶好調,深紅色,ジャスミンティー
2025-11-03,月曜日,Monday,False,True,文化の日,先勝,直感力が冴える,金色,ルイボスティー
2025-11-04,火曜日,Tuesday,False,False,,友引,隠れた才能開花,朱色,ローズヒップティー
2025-11-05,水曜日,Wednesday,False,False,,先負,人生の転機到来,空色,白茶
2025-11-06,木曜日,Thursday,False,False,,仏滅,幸運の風が吹く,若草色,烏龍茶
2025-11-07,金曜日,Friday,False,False,,大安,魂の成長期間,黄金色,玄米茶
2025-11-08,土曜日,Saturday,True,False,,赤口,エネルギー充電日,鋼青色,抹茶
2025-11-09,日曜日,Sunday,True,False,,先勝,新次元への扉,深紅色,柚子茶
2025-11-10,月曜日,Monday,False,False,,友引,守護霊のささやき,金色,生姜茶
2025-11-11,火曜日,Tuesday,False,False,,先負,願いが叶う予感,朱色,黒豆茶
2025-11-12,水曜日,Wednesday,False,False,,仏滅,心のデトックス,空色,アールグレイ
2025-11-13,木曜日,Thursday,False,False,,大安,創造力爆発,若草色,カモミールティー
2025-11-14,金曜日,Friday,False,False,,赤口,人との縁を結ぶ,黄金色,ペパーミントティー
2025-11-15,土曜日,Saturday,True,False,,先勝,未来への種まき,鋼青色,緑茶
2025-11-16,日曜日,Sunday,True,False,,友引,宝物発見の予感,深紅色,ほうじ茶
2025-11-17,月曜日,Monday,False,False,,先負,内なる光が輝く,金色,ジャスミンティー
2025-11-18,火曜日,Tuesday,False,False,,仏滅,調和のメロディ,朱色,ルイボスティー
2025-11-19,水曜日,Wednesday,False,False,,大安,自然の叡智授受,空色,ローズヒップティー
2025-11-20,木曜日,Thursday,False,False,,赤口,知恵の泉湧出,若草色,白茶
2025-11-21,金曜日,Friday,False,False,,先勝,至福の時間軸,黄金色,烏龍茶
2025-11-22,土曜日,Saturday,True,False,,友引,運気上昇の兆し,鋼青色,玄米茶
2025-11-23,日曜日,Sunday,True,True,勤労感謝の日,先負,心の扉が開放,深紅色,抹茶
2025-11-24,月曜日,Monday,False,False,,仏滅,宇宙との同調,金色,柚子茶
2025-11-25,火曜日,Tuesday,False,False,,大安,愛のバイブレーション,朱色,生姜茶
2025-11-26,水曜日,Wednesday,False,False,,赤口,豊かさの波動,空色,黒豆茶
2025-11-27,木曜日,Thursday,False,False,,先勝,運命の扉が開く日,若草色,アールグレイ
2025-11-28,金曜日,Friday,False,False,,友引,宇宙からのメッセージ,黄金色,カモミールティー
2025-11-29,土曜日,Saturday,True,False,,先負,奇跡を呼ぶ波動,鋼青色,ペパーミントティー
2025-11-30,日曜日,Sunday,True,False,,仏滅,龍神様のご加護,深紅色,緑茶
