date,weekday,weekday_en,is_weekend,is_holiday,holiday_name,rokuyo,daily_keyword,color_of_the_day,recommended_tea
2025-01-01,水曜日,Wednesday,False,True,元日,先勝,運命の扉が開く日,空色,アールグレイ
2025-01-02,木曜日,Thursday,False,False,,友引,宇宙からのメッセージ,若草色,カモミールティー
2025-01-03,金曜日,Friday,False,False,,先負,奇跡を呼ぶ波動,黄金色,ペパーミントティー
2025-01-04,土曜日,Saturday,True,False,,仏滅,龍神様のご加護,鋼青色,緑茶
2025-01-05,日曜日,Sunday,True,False,,大安,金運上昇のサイン,深紅色,ほうじ茶
2025-01-06,月曜日,Monday,False,False,,赤口,恋愛運絶好調,金色,ジャスミンティー
2025-01-07,火曜日,Tuesday,False,False,,先勝,直感力が冴える,朱色,ルイボスティー
2025-01-08,水曜日,Wednesday,False,False,,友引,隠れた才能開花,空色,ローズヒップティー
2025-01-09,木曜日,Thursday,False,False,,先負,人生の転機到来,若草色,白茶
2025-01-10,金曜日,Friday,False,False,,仏滅,幸運の風が吹く,黄金色,烏龍茶
2025-01-11,土曜日,Saturday,True,False,,大安,魂の成長期間,鋼青色,玄米茶
2025-01-12,日曜日,Sunday,True,False,,赤口,エネルギー充電日,深紅色,抹茶
2025-01-13,月曜日,Monday,False,True,成人の日,先勝,新次元への扉,金色,柚子茶
2025-01-14,火曜日,Tuesday,False,False,,友引,守護霊のささやき,朱色,生姜茶
2025-01-15,水曜日,Wednesday,False,False,,先負,願いが叶う予感,空色,黒豆茶
2025-01-16,木曜日,Thursday,False,False,,仏滅,心のデトックス,若草色,アールグレイ
2025-01-17,金曜日,Friday,False,False,,大安,創造力爆発,黄金色,カモミールティー
2025-01-18,土曜日,Saturday,True,False,,赤口,人との縁を結ぶ,鋼青色,ペパーミントティー
2025-01-19,日曜日,Sunday,True,False,,先勝,未来への種まき,深紅色,緑茶
2025-01-20,月曜日,Monday,False,False,,友引,宝物発見の予感,金色,ほうじ茶
2025-01-21,火曜日,Tuesday,False,False,,先負,内なる光が輝く,朱色,ジャスミンティー
2025-01-22,水曜日,Wednesday,False,False,,仏滅,調和のメロディ,空色,ルイボスティー
2025-01-23,木曜日,Thursday,False,False,,大安,自然の叡智授受,若草色,ローズヒップティー
2025-01-24,金曜日,Friday,False,False,,赤口,知恵の泉湧出,黄金色,白茶
2025-01-25,土曜日,Saturday,True,False,,先勝,至福の時間軸,鋼青色,烏龍茶
2025-01-26,日曜日,Sunday,True,False,,友引,運気上昇の兆し,深紅色,玄米茶
2025-01-27,月曜日,Monday,False,False,,先負,心の扉が開放,金色,抹茶
2025-01-28,火曜日,Tuesday,False,False,,仏滅,宇宙との同調,朱色,柚子茶
2025-01-29,水曜日,Wednesday,False,False,,大安,愛のバイブレーション,空色,生姜茶
2025-01-30,木曜日,Thursday,False,False,,赤口,豊かさの波動,若草色,黒豆茶
2025-01-31,金曜日,Friday,False,False,,先勝,運命の扉が開く日,黄金色,アールグレイ
2025-02-01,土曜日,Saturday,True,False,,友引,宇宙からのメッセージ,鋼青色,カモミールティー
2025-02-02,日曜日,Sunday,True,False,,先負,奇跡を呼ぶ波動,深紅色,ペパーミントティー
2025-02-03,月曜日,Monday,False,False,,仏滅,龍神様のご加護,金色,緑茶
2025-02-04,火曜日,Tuesday,False,False,,大安,金運上昇のサイン,朱色,ほうじ茶
2025-02-05,水曜日,Wednesday,False,False,,赤口,恋愛運絶好調,空色,ジャスミンティー
2025-02-06,木曜日,Thursday,False,False,,先勝,直感力が冴える,若草色,ルイボスティー
2025-02-07,金曜日,Friday,False,False,,友引,隠れた才能開花,黄金色,ローズヒップティー
2025-02-08,土曜日,Saturday,True,False,,先負,人生の転機到来,鋼青色,白茶
2025-02-09,日曜日,Sunday,True,False,,仏滅,幸運の風が吹く,深紅色,烏龍茶
2025-02-10,月曜日,Monday,False,False,,大安,魂の成長期間,金色,玄米茶
2025-02-11,火曜日,Tuesday,False,True,建国記念の日,赤口,エネルギー充電日,朱色,抹茶
