年,月,日,date,weekday,weekday_en,weekday_short,is_weekend,is_holiday,holiday_name,rokuyo,is_ichiryu_manbai,jikkan_junishi,jikkan,junishi,jikkan_gogyou,junishi_gogyou,jikkan_yin_yang,junishi_animal,juuni_un,is_kuubou,kuubou_type,kuubou_effect,season_24,moon_phase,daily_keyword,color_of_the_day,recommended_tea,lucky_number,power_stone,aroma_oil,meditation_theme,flower_of_the_day,energy_advice,zodiac_influence,tarot_card,wise_quote,recommended_music,recommended_food,crystal_healing,feng_shui_tip
2029,1,1,2029-01-01,月曜日,Monday,Mon,False,True,元日,先勝,False,丁亥,丁,亥,火,水,陰,猪,帝旺,False,,,,調査中,運命の扉が開く日,金色,アールグレイ,1,アメジスト,ラベンダー,感謝の瞑想,桜 - 精神の美,今日は新しい挑戦の時,牡羊座,愚者 - 新しい始まり,一歩一歩が大切な旅路,クラシック,季節の野菜スープ,アメジスト - 心の浄化,玄関を清潔に保つ
2029,1,2,2029-01-02,火曜日,Tuesday,Tue,False,False,,友引,False,戊子,戊,子,土,水,陽,鼠,衰,False,,,,調査中,宇宙からのメッセージ,朱色,カモミールティー,2,ローズクォーツ,ユーカリ,慈悲の瞑想,梅 - 気品,休息を大切にする日,牡牛座,魔術師 - 創造力,今日という日は二度と来ない,ジャズ,玄米おにぎり,ローズクォーツ - 愛の波動,観葉植物で気の流れを良くする
2029,1,3,2029-01-03,水曜日,Wednesday,Wed,False,False,,先負,True,己丑,己,丑,土,土,陰,牛,病,False,,,,調査中,奇跡を呼ぶ波動,空色,ペパーミントティー,3,クリスタル,ローズマリー,呼吸に集中,椿 - 控えめな素晴らしさ,人との繋がりを深める日,双子座,女教皇 - 直感,心の平安が真の豊かさ,アンビエント,緑黄色野菜サラダ,クリアクォーツ - エネルギー増幅,鏡で光を取り入れる
2029,1,4,2029-01-04,木曜日,Thursday,Thu,False,False,,仏滅,False,庚寅,庚,寅,金,木,陽,虎,死,False,,,,調査中,龍神様のご加護,若草色,緑茶,4,アクアマリン,オレンジ,マインドフルネス,菊 - 高貴,創造性を発揮する時,蟹座,女帝 - 豊穣,変化は成長の扉,ヒーリング,蒸し魚,ブラックトルマリン - 邪気払い,水回りの掃除
2029,1,5,2029-01-05,金曜日,Friday,Fri,False,False,,大安,False,辛卯,辛,卯,金,木,陰,兎,墓,False,,,,調査中,金運上昇のサイン,黄金色,ほうじ茶,5,ガーネット,レモングラス,ボディスキャン,蓮 - 清らかな心,内省の時間を作る日,獅子座,皇帝 - 安定,感謝の心が幸福を呼ぶ,ネイチャーサウンド,豆腐料理,シトリン - 金運上昇,不要な物を手放す
2029,1,6,2029-01-06,土曜日,Saturday,Sat,True,False,,赤口,True,壬辰,壬,辰,水,土,陽,龍,絶,False,,,,調査中,恋愛運絶好調,鋼青色,ジャスミンティー,6,ムーンストーン,イランイラン,愛と光の瞑想,薔薇 - 愛情,感謝を表現する日,乙女座,教皇 - 叡智,愛は最も強いエネルギー,瞑想音楽,発酵食品,ラピスラズリ - 真実の洞察,東向きに花を飾る
2029,1,7,2029-01-07,日曜日,Sunday,Sun,True,False,,先勝,False,癸巳,癸,巳,水,火,陰,蛇,胎,False,,,,調査中,直感力が冴える,深紅色,ルイボスティー,7,ラピスラズリ,サンダルウッド,チャクラ調整,向日葵 - 憧れ,勇気を出して行動する時,天秤座,恋人 - 選択,困難は成長のギフト,ピアノソロ,ナッツとドライフルーツ,ムーンストーン - 女性性,ピンク色で恋愛運向上
2029,1,8,2029-01-08,月曜日,Monday,Mon,False,True,成人の日,友引,True,甲午,甲,午,木,火,陽,馬,沐浴,True,午未,配偶者・恋愛,,調査中,隠れた才能開花,金色,ローズヒップティー,8,マラカイト,フランキンセンス,グラウンディング,紫陽花 - 移り気,直感に従う日,蠍座,戦車 - 意志力,今この瞬間が全て,オルゴール,ハーブティーと蜂蜜,ガーネット - 情熱,金色で金運アップ
2029,1,9,2029-01-09,火曜日,Tuesday,Tue,False,False,,先負,False,乙未,乙,未,木,土,陰,羊,冠帯,True,午未,配偶者・恋愛,,調査中,人生の転機到来,朱色,白茶,9,オニキス,ジャスミン,エネルギー浄化,牡丹 - 富貴,学びを深める好機,射手座,力 - 内なる強さ,笑顔は心の太陽,シンギングボウル,旬の果物,アクアマリン - 平和,緑で健康運向上
2029,1,10,2029-01-10,水曜日,Wednesday,Wed,False,False,,仏滅,False,丙申,丙,申,火,金,陽,猿,建禄,False,,,,調査中,幸運の風が吹く,空色,烏龍茶,10,シトリン,ベルガモット,未来創造,百合 - 純粋,愛を分かち合う日,山羊座,隠者 - 内省,優しさは伝染する,チルアウト,薬膳粥,ペリドット - 癒し,赤で活力を高める
